EmployeeID,Age,Department,ZipCode,Salary
10000,47,Engineering,44125,81988
10001,38,Engineering,44123,92519
10002,49,Engineering,44124,59342
10003,39,Sales,44125,60015
10004,35,Customer Support,44125,60991
10005,34,Engineering,44124,73637
10006,55,HR,44124,39495
10007,29,Engineering,44123,79099
10008,40,Engineering,44126,82032
10009,46,Sales,44126,66520
10010,67,Sales,44124,49304
10011,50,Customer Support,44124,62771
10012,70,Engineering,44123,82333
10013,54,Engineering,44126,88780
10014,67,Engineering,44123,61043
10015,66,Customer Support,44122,88530
10016,26,Engineering,44123,86882
10017,56,Engineering,44126,70741
10018,34,Sales,44122,71762
10019,23,Sales,44124,69823
10020,32,Customer Support,44122,76208
10021,59,Engineering,44122,83687
10022,61,Sales,44124,69162
10023,42,Sales,44124,54231
10024,39,Sales,44122,67473
10025,49,Engineering,44126,90051
10026,46,Engineering,44123,49504
10027,39,Sales,44123,42971
10028,25,Engineering,44125,82475
10029,28,Sales,44123,76403
10030,65,HR,44125,91412
10031,72,Engineering,44126,51654
10032,72,Sales,44124,75447
10033,22,Sales,44123,49091
10034,37,Customer Support,44125,100348
10035,54,Customer Support,44123,82352
10036,45,Engineering,44124,68190
10037,49,Sales,44123,85173
10038,28,Customer Support,44125,61956
10039,47,Engineering,44122,79973
10040,65,Customer Support,44123,103720
10041,32,Customer Support,44122,82628
10042,49,Sales,44122,57828
10043,66,Engineering,44125,70466
10044,36,Engineering,44124,38482
10045,29,Engineering,44125,77879
10046,37,Engineering,44123,61775
10047,22,Engineering,44126,60438
10048,62,HR,44125,66900
10049,70,HR,44122,84722
10050,49,HR,44124,38791
10051,53,Engineering,44125,71808
10052,27,Sales,44125,53814
10053,29,Engineering,44122,61787
10054,72,Sales,44122,85499
10055,57,Engineering,44126,77368
10056,23,Engineering,44125,57745
10057,70,Sales,44123,94224
10058,25,Engineering,44124,89018
10059,30,Sales,44125,65751
10060,45,Engineering,44122,80927
10061,39,Sales,44125,75966
10062,26,Customer Support,44122,66338
10063,30,Engineering,44123,81034
10064,72,Sales,44125,83779
10065,54,Sales,44122,72585
10066,36,Sales,44126,73757
10067,41,Sales,44125,80575
10068,47,Customer Support,44124,74281
10069,48,Engineering,44123,92560
10070,60,Engineering,44124,62993
10071,39,HR,44125,88301
10072,65,Sales,44122,57067
10073,40,Engineering,44126,93952
10074,70,Customer Support,44125,62482
10075,32,Customer Support,44125,75907
10076,69,Customer Support,44123,72289
10077,68,Customer Support,44122,90053
10078,54,Engineering,44126,71081
10079,66,Sales,44125,77351
10080,62,Engineering,44123,84094
10081,30,Customer Support,44125,55092
10082,26,Sales,44122,82832
10083,55,HR,44125,100734
10084,23,Customer Support,44125,69768
10085,53,Sales,44126,82297
10086,63,Engineering,44124,60745
10087,33,Engineering,44122,57225
10088,56,Customer Support,44122,67968
10089,30,Engineering,44125,94768
10090,41,HR,44126,72395
10091,54,Customer Support,44123,52232
10092,42,Engineering,44122,76512
10093,72,Customer Support,44123,88041
10094,40,Sales,44124,50711
10095,67,Engineering,44123,85217
10096,30,Engineering,44123,84221
10097,60,HR,44122,69504
10098,61,Engineering,44126,61858
10099,56,HR,44126,90940
10100,53,Sales,44126,88590
10101,74,Sales,44123,87307
10102,58,HR,44122,49656
10103,26,Customer Support,44125,67068
10104,50,HR,44125,78992
10105,35,Engineering,44123,55794
10106,23,Engineering,44126,87900
10107,48,Engineering,44123,36624
10108,43,Engineering,44126,80516
10109,42,Customer Support,44126,60748
10110,64,HR,44124,60712
10111,39,Engineering,44122,78742
10112,69,Customer Support,44123,61770
10113,39,Sales,44124,51663
10114,26,Engineering,44123,77626
10115,32,Engineering,44122,77735
10116,68,Engineering,44123,50062
10117,61,Engineering,44125,82648
10118,57,Customer Support,44124,110850
10119,43,Customer Support,44125,80469
10120,25,Sales,44123,57492
10121,57,Customer Support,44122,77042
10122,39,Engineering,44122,70575
10123,28,Engineering,44126,74386
10124,62,Sales,44122,69982
10125,71,Engineering,44122,41493
10126,23,Engineering,44126,94590
10127,61,Engineering,44124,84888
10128,58,HR,44125,100192
10129,30,Sales,44125,81935
10130,27,Customer Support,44124,79978
10131,59,Engineering,44122,76873
10132,49,Customer Support,44124,73253
10133,51,Engineering,44124,66789
10134,72,Sales,44125,87161
10135,69,Engineering,44126,52522
10136,43,Engineering,44125,78051
10137,45,Customer Support,44124,66869
10138,32,Sales,44122,79966
